mc_delay_per_train,threshold_confidence,seed,n_rescheduled,n_evaluated,n_skipped,n_fcfs_fallback,triggered_%,TED_combined,total_solver_time
180,0.6,13,50,137,10756,0,36.5,75347.4,0.47768545150756836
180,0.6,14,50,137,10756,0,36.5,73289.6999999999,0.4397571086883545
180,0.6,15,53,133,10753,0,39.85,75142.7,0.4486558437347412
180,0.6,16,53,135,10753,0,39.26,73829.90000000001,0.4651296138763428
180,0.6,17,50,137,10756,0,36.5,76520.1,0.4453272819519043
180,0.6,18,52,135,10754,0,38.52,76954.19999999995,0.44401097297668457
180,0.6,19,55,132,10751,0,41.67,75723.19999999995,0.5310137271881104
180,0.6,20,53,132,10753,0,40.15,80606.2999999998,0.5360620021820068
180,0.8,1,51,135,10755,0,37.78,74599.39999999998,0.42900919914245605
180,0.8,2,50,137,10756,0,36.5,76814.30000000005,0.43028926849365234
180,0.8,3,47,139,10759,0,33.81,73185.69999999997,0.3962388038635254
180,0.8,4,41,145,10765,0,28.28,80211.49999999999,0.3668789863586426
180,0.8,5,47,138,10759,0,34.06,76381.5,0.42117881774902344
180,0.8,6,48,137,10758,0,35.04,76998.3,0.4101393222808838
180,0.8,7,52,135,10754,0,38.52,77187.19999999995,0.44683361053466797
180,0.8,8,50,135,10756,0,37.04,71354.59999999989,0.43225979804992676
180,0.8,9,51,136,10755,0,37.5,81575.39999999997,0.5040373802185059
180,0.8,10,45,140,10761,0,32.14,72018.8,0.4268765449523926
180,0.8,11,45,140,10761,0,32.14,74909.60000000003,0.3635997772216797
180,0.8,12,48,138,10758,0,34.78,79220.89999999997,0.5060939788818359
180,0.8,13,52,135,10754,0,38.52,76442.69999999997,0.5030472278594971
180,0.8,14,51,136,10755,0,37.5,75086.20000000001,0.4660189151763916
180,0.8,15,51,136,10755,0,37.5,74946.79999999994,0.4429035186767578
180,0.8,16,41,146,10765,0,28.08,80525.19999999994,0.3970329761505127
180,0.8,17,51,136,10755,0,37.5,78928.50000000004,0.4674043655395508
180,0.8,18,45,141,10761,0,31.91,78115.09999999998,0.4004514217376709
180,0.8,19,41,146,10765,0,28.08,81950.4,0.38080620765686035
180,0.8,20,48,137,10758,0,35.04,79999.99999999997,0.4825870990753174
