seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,retrack_conflict_window
16,RCW600,3600,1200,0.0,600,-10000.0,39035.5,36421.3,2614.199999999999,0.4054199295225835,218,94,0,0,10885,4.314145088195801,0.0458951605127212,0.8635737253100597,9400.0,False,600
17,RCW600,3600,1200,0.0,600,-10000.0,41955.50000000005,41350.10000000003,605.4000000000133,0.082696585689325,172,93,0,0,10912,4.460037708282471,0.0479573947127147,0.8522727272727272,9300.0,False,600
18,RCW600,3600,1200,0.0,600,-10000.0,42877.8,37025.09999999999,5852.7000000000035,0.8928566753987895,191,94,0,0,10874,4.255513429641724,0.0452714194642736,0.8644473054993563,9400.0,False,600
19,RCW600,3600,1200,0.0,600,-10000.0,41089.79999999998,38142.79999999998,2947.0,0.4364045719688202,187,94,0,0,10882,4.388751268386841,0.046688843280711,0.863811799301599,9400.0,False,600
20,RCW600,3600,1200,0.0,600,-10000.0,42432.09999999999,41225.19999999999,1206.8999999999978,0.1653599158862927,186,94,0,0,10905,4.5841593742370605,0.0487676529174155,0.8619899128839983,9400.0,False,600
21,RCW600,3600,1200,0.0,600,-10000.0,40451.39999999998,39297.999999999985,1153.3999999999946,0.165779652684838,205,94,0,0,10877,4.377350330352783,0.0465675567058806,0.8642088811253102,9400.0,False,600
22,RCW600,3600,1200,0.0,600,-10000.0,38433.09999999999,37456.8,976.2999999999948,0.1472225527617331,206,94,0,0,10870,4.362249135971069,0.0464069057018198,0.8647654093836247,9400.0,False,600
23,RCW600,3600,1200,0.0,600,-10000.0,40045.50000000002,36241.8,3803.700000000019,0.5928136892989662,175,94,0,0,10857,4.373422622680664,0.0465257725817091,0.8658008658008658,9400.0,False,600
24,RCW600,3600,1200,0.0,600,-10000.0,36777.99999999999,34330.29999999999,2447.7000000000035,0.4027191818792832,225,94,0,0,10868,4.236739635467529,0.0450716982496545,0.8649245491350755,9400.0,False,600
0,RCW900,3600,1200,0.0,900,-10000.0,37175.3,35665.40000000001,1509.8999999999887,0.239123804971936,147,94,0,0,10872,4.251117706298828,0.0452246564499875,0.8646063281824872,9400.0,False,900
1,RCW900,3600,1200,0.0,900,-10000.0,42204.1,38291.7,3912.4000000000015,0.5771122982006806,143,94,0,0,10902,4.46803879737854,0.0475323276316866,0.8622271142909558,9400.0,False,900
2,RCW900,3600,1200,0.0,900,-10000.0,41733.40000000001,37851.2,3882.200000000003,0.5793219440659949,165,93,0,0,10876,4.300081729888916,0.0462374379557948,0.8550937844795881,9300.0,False,900
3,RCW900,3600,1200,0.0,900,-10000.0,37256.79999999999,35810.899999999994,1445.899999999991,0.2280577044517618,145,93,0,0,10879,4.299574851989746,0.0462319876558037,0.8548579832705213,9300.0,False,900
4,RCW900,3600,1200,0.0,900,-10000.0,47381.7,43731.50000000001,3650.199999999986,0.4714590898279982,145,94,0,0,10936,4.434061288833618,0.0471708647748257,0.8595464520848574,9400.0,False,900
5,RCW900,3600,1200,0.0,900,-10000.0,42532.10000000004,38855.80000000002,3676.300000000024,0.5344127560064467,139,94,0,0,10875,4.376389265060425,0.0465573326070258,0.864367816091954,9400.0,False,900
6,RCW900,3600,1200,0.0,900,-10000.0,37643.599999999984,34695.19999999999,2948.3999999999933,0.4799972330466452,151,94,0,0,10874,4.294757604598999,0.0456889106872233,0.8644473054993563,9400.0,False,900
7,RCW900,3600,1200,0.0,900,-10000.0,40217.3,37211.59999999999,3005.7000000000035,0.4562354359783124,163,94,0,0,10876,4.288739919662476,0.0456248927623667,0.8642883413019492,9400.0,False,900
8,RCW900,3600,1200,0.0,900,-10000.0,39254.30000000002,36066.70000000001,3187.6000000000076,0.4992052423505824,131,93,0,0,10871,4.294541597366333,0.0461778666383476,0.8554870757060068,9300.0,False,900
9,RCW900,3600,1200,0.0,900,-10000.0,36493.29999999998,35300.7,1192.5999999999833,0.1908240962877246,135,94,0,0,10862,4.2717039585113525,0.0454436591330994,0.8654023200147302,9400.0,False,900
10,RCW900,3600,1200,0.0,900,-10000.0,38085.99999999999,33873.200000000004,4212.799999999988,0.7024838463497914,188,94,0,0,10866,4.295457363128662,0.0456963549269006,0.8650837474691699,9400.0,False,900
