seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
5,RW3600_CW600,3600,600,36423.4,35153.8,1269.5999999999967,0.1856066697436813,103,77,0,0,8554,187.81063628196716,2.43909917249308,0.900163666121113,7700.0,True
6,RW3600_CW600,3600,600,45533.599999999984,41114.7,4418.899999999989,0.6070700041323671,152,94,0,0,10902,2.495981931686402,0.0265529992732595,0.8622271142909558,9400.0,False
7,RW3600_CW600,3600,600,36515.59999999997,33888.29999999999,2627.299999999982,0.4379067195968577,142,94,0,0,10864,2.454167127609253,0.0261081609320133,0.8652430044182622,9400.0,False
8,RW3600_CW600,3600,600,38319.6,36400.50000000001,1919.0999999999929,0.2977912844150933,108,93,0,0,10872,2.483266592025757,0.0267017913121049,0.8554083885209713,9300.0,False
9,RW3600_CW600,3600,600,35484.300000000025,33990.400000000016,1493.900000000008,0.2482486974990753,167,94,0,0,10867,2.490262746810913,0.0264921568809671,0.8650041409772706,9400.0,False
10,RW3600_CW600,3600,600,35801.20000000001,33417.600000000006,2383.600000000002,0.4028838393245176,157,94,0,0,10861,2.478119373321533,0.026362972056612,0.8654819998158548,9400.0,False
11,RW3600_CW600,3600,600,39823.29999999999,37987.19999999999,1836.1000000000015,0.2730113949314104,114,94,0,0,10892,2.6163039207458496,0.0278330204334664,0.8630187293426368,9400.0,False
12,RW3600_CW600,3600,600,42011.8,38461.3,3550.4999999999973,0.5214195185153002,129,94,0,0,10896,2.53151798248291,0.0269310423668394,0.8627019089574155,9400.0,False
13,RW3600_CW600,3600,600,43561.4,39820.4,3740.999999999999,0.5306446825366775,107,94,0,0,10882,2.567537784576416,0.0273142317508129,0.863811799301599,9400.0,False
14,RW3600_CW600,3600,600,41518.40000000002,37939.2,3579.2000000000176,0.5328678575136091,128,94,0,0,10889,2.471306562423706,0.026290495344933,0.8632564973826797,9400.0,False
15,RW3600_CW600,3600,600,36580.600000000006,34886.59999999999,1694.0000000000132,0.2742688508569986,97,93,0,0,10866,2.545372009277344,0.0273695914976058,0.8558807288790724,9300.0,False
