seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,RETRACK_CONFLICT_WINDOW,SWITCH_PENALTY,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,switch_penalty,min_obj_improvement
10,SP0_MOI180,3600,1200,900,0.0,180.0,35237.199999999975,33800.89999999998,1436.2999999999925,0.2400151319203759,79,24,0,70,10872,1.5449306964874268,0.0643721123536427,0.2207505518763796,2400.0,False,0,180
11,SP0_MOI180,3600,1200,900,0.0,180.0,40552.39999999998,38131.49999999999,2420.8999999999905,0.3586036349342264,86,26,0,68,10895,1.8081419467926023,0.0695439210304847,0.2386415787058284,2600.0,False,0,180
12,SP0_MOI180,3600,1200,900,0.0,180.0,52150.6,50995.7,1154.899999999995,0.104478194566731,65,19,0,48,7317,189.5067958831787,9.974041888588353,0.2596692633593002,1900.0,True,0,180
13,SP0_MOI180,3600,1200,900,0.0,180.0,41557.19999999997,39483.89999999998,2073.299999999986,0.2965950038503643,86,26,0,68,10906,1.6908979415893557,0.0650345362149752,0.2384008802494039,2600.0,False,0,180
14,SP0_MOI180,3600,1200,900,0.0,180.0,38713.699999999975,34248.79999999999,4464.899999999989,0.736356464306055,87,26,0,68,10871,1.6797664165496826,0.0646064006365262,0.2391684297672707,2600.0,False,0,180
15,SP0_MOI180,3600,1200,900,0.0,180.0,40595.8,38974.8,1620.999999999995,0.2349204619902601,72,26,0,69,10898,1.7016303539276123,0.0654473213049081,0.2385758854835749,2600.0,False,0,180
16,SP0_MOI180,3600,1200,900,0.0,180.0,38938.59999999998,37014.89999999998,1923.699999999996,0.293550274779455,82,25,0,69,10881,1.5804288387298584,0.0632171535491943,0.2297582942744233,2500.0,False,0,180
17,SP0_MOI180,3600,1200,900,0.0,180.0,37489.900000000016,36092.70000000001,1397.2000000000016,0.2186557648243808,65,22,0,71,10889,1.4150161743164062,0.0643189170143821,0.2020387547065846,2200.0,False,0,180
18,SP0_MOI180,3600,1200,900,0.0,180.0,37856.099999999984,35935.1,1920.9999999999864,0.3019466626357918,87,27,0,67,10881,1.8076870441436768,0.0669513720053213,0.2481389578163771,2700.0,False,0,180
19,SP0_MOI180,3600,1200,900,0.0,180.0,41235.599999999984,39357.50000000001,1878.0999999999744,0.269533614451352,81,25,0,69,10903,1.4996984004974363,0.0599879360198974,0.2292946895349903,2500.0,False,0,180
20,SP0_MOI180,3600,1200,900,0.0,180.0,42285.99999999996,39994.09999999997,2291.899999999995,0.3236841719867961,65,23,0,71,10903,1.403151035308838,0.0610065667525581,0.2109511143721911,2300.0,False,0,180
21,SP0_MOI180,3600,1200,900,0.0,180.0,38870.89999999997,36020.199999999975,2850.699999999998,0.4470201732349083,97,27,0,67,10887,1.9115641117095947,0.070798670804059,0.2480022044640397,2700.0,False,0,180
22,SP0_MOI180,3600,1200,900,0.0,180.0,38041.79999999999,36122.1,1919.699999999989,0.3001802403332197,105,29,0,65,10864,1.9430696964263916,0.0670024033250479,0.2669366715758468,2900.0,False,0,180
23,SP0_MOI180,3600,1200,900,0.0,180.0,38467.0,34421.399999999994,4045.600000000002,0.6638594429213062,82,26,0,68,10866,1.5172972679138184,0.0583575872274545,0.2392784833425363,2600.0,False,0,180
