seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
20,TTL900,3600,1200,120,900,900.0,60,41479.59999999998,39215.89999999998,2263.699999999995,0.3260456505237315,17,41,0,53,10900,2.552894115447998,0.062265710132878,0.3761467889908257,4100.0,False,900
21,TTL900,3600,1200,120,900,900.0,60,39566.499999999935,37960.499999999956,1605.9999999999804,0.23896557598695084,13,44,0,51,10888,2.335592269897461,0.053081642497669564,0.4041146216017634,4400.0,False,900
22,TTL900,3600,1200,120,900,900.0,60,38309.1,36135.1,2173.999999999999,0.33982240213854337,16,45,0,49,10871,2.5877108573913574,0.05750468571980794,0.4139453592125839,4500.0,False,900
23,TTL900,3600,1200,120,900,900.0,60,41569.299999999974,37757.69999999999,3811.5999999999867,0.5701951427882809,18,47,0,47,10898,2.6807379722595215,0.05703697813318131,0.4312717929895394,4700.0,False,900
24,TTL900,3600,1200,120,900,900.0,60,36273.99999999997,32937.99999999998,3335.9999999999945,0.5720718045692234,16,43,0,51,10858,2.3795008659362793,0.05533722944037859,0.3960213667342052,4300.0,False,900
0,TTL1350,3600,1200,120,900,1350.0,60,43872.099999999984,39249.19999999999,4622.899999999993,0.6652814537663138,15,49,0,45,10905,2.7724814414978027,0.056581253908118426,0.4493351673544246,4900.0,False,1350
1,TTL1350,3600,1200,120,900,1350.0,60,40668.800000000105,38195.60000000011,2473.199999999997,0.3657359302302684,14,41,0,54,10900,2.648174285888672,0.064589616728992,0.3761467889908257,4100.0,False,1350
2,TTL1350,3600,1200,120,900,1350.0,60,42152.19999999998,38583.999999999985,3568.2000000000007,0.5223524868248072,13,44,0,50,10884,2.590630054473877,0.0588779557834972,0.40426313855200297,4400.0,False,1350
3,TTL1350,3600,1200,120,900,1350.0,60,40605.89999999998,37802.19999999998,2803.7000000000007,0.4189249175043656,13,44,0,49,10896,2.5602056980133057,0.05818649313666604,0.4038179148311307,4400.0,False,1350
4,TTL1350,3600,1200,120,900,1350.0,60,39733.799999999974,37481.29999999999,2252.4999999999836,0.3394469265450238,13,40,0,54,10900,2.2264649868011475,0.055661624670028685,0.3669724770642202,4000.0,False,1350
5,TTL1350,3600,1200,120,900,1350.0,60,39037.3,37081.1,1956.2000000000007,0.29797674541762514,16,49,0,45,10882,2.697816848754883,0.05505748670928332,0.450284874104025,4900.0,False,1350
6,TTL1350,3600,1200,120,900,1350.0,60,38967.09999999998,35236.39999999999,3730.699999999988,0.5980266285575551,17,47,0,47,10875,2.6832447052001953,0.0570903128765999,0.432183908045977,4700.0,False,1350
7,TTL1350,3600,1200,120,900,1350.0,60,40698.499999999985,37002.5,3695.9999999999836,0.5641864115210485,17,44,0,50,10888,2.5517430305480957,0.05799415978518399,0.4041146216017634,4400.0,False,1350
8,TTL1350,3600,1200,120,900,1350.0,60,40934.599999999955,36833.29999999998,4101.2999999999765,0.628930468228057,15,43,0,50,10891,2.6974096298217773,0.0627304565074832,0.39482141217519057,4300.0,False,1350
9,TTL1350,3600,1200,120,900,1350.0,60,40190.29999999998,37007.09999999999,3183.1999999999916,0.4858482012109278,15,50,0,44,10887,2.8589670658111572,0.057179341316223146,0.45926334160007354,5000.0,False,1350
10,TTL1350,3600,1200,120,900,1350.0,60,37713.99999999997,34519.899999999994,3194.099999999978,0.5226376669689042,14,45,0,49,10888,2.5824992656707764,0.0573888725704617,0.41329904481998525,4500.0,False,1350
