seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,trigger_strategy,event_driven_freq,controller_freq,threshold_confidence,mc_delay_per_train,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
19,MC60,3600,1200,event_driven,900,900,0.6,60,42196.29999999998,40112.09999999999,2084.199999999992,0.2934848712855837,123,75,95,0,10884,4.055234670639038,0.0540697956085205,0.6890848952590959,78.94736842105263,False
20,MC60,3600,1200,event_driven,900,900,0.6,60,38408.799999999974,36996.09999999999,1412.6999999999862,0.2156829064043588,131,73,95,0,10878,4.036048412322998,0.0552883344153835,0.6710792425078139,76.84210526315789,False
21,MC60,3600,1200,event_driven,900,900,0.6,60,31893.999999999993,30769.499999999993,1124.4999999999984,0.1817742019593927,117,55,75,0,7993,133.76770091056824,2.432140016555786,0.6881020893281621,73.33333333333333,True
22,MC60,3600,1200,event_driven,900,900,0.6,60,39203.9,37176.999999999985,2026.9000000000176,0.3079496451043403,109,72,94,0,10883,4.088880300521851,0.0567900041739145,0.6615822842966094,76.59574468085107,False
23,MC60,3600,1200,event_driven,900,900,0.6,60,41029.200000000026,36284.8,4744.400000000021,0.7385472583682334,135,73,94,0,10845,4.1646809577941895,0.0570504240793724,0.6731212540341172,77.6595744680851,False
24,MC60,3600,1200,event_driven,900,900,0.6,60,39244.19999999999,36356.1,2888.0999999999904,0.4487006140813878,136,65,95,0,10886,3.750229835510254,0.0576958436232346,0.5970971890501562,68.42105263157895,False
0,MC120,3600,1200,event_driven,900,900,0.6,120,41564.79999999996,37589.199999999975,3975.5999999999863,0.5973946456212622,97,55,94,0,10915,3.308579683303833,0.0601559942418878,0.5038937242327073,58.51063829787234,False
1,MC120,3600,1200,event_driven,900,900,0.6,120,38757.59999999999,37408.19999999999,1349.400000000004,0.2037490634215423,102,50,95,0,10887,3.118558168411255,0.0623711633682251,0.4592633416000735,52.63157894736842,False
2,MC120,3600,1200,event_driven,900,900,0.6,120,44557.199999999975,39828.39999999999,4728.799999999987,0.6706251136054979,99,56,95,0,10888,3.263153076171875,0.0582705906459263,0.5143277002204262,58.94736842105262,False
3,MC120,3600,1200,event_driven,900,900,0.6,120,38340.1,37385.9,954.199999999998,0.1441628299133398,105,54,94,0,10884,3.233833074569702,0.0598857976772167,0.4961411245865491,57.446808510638306,False
4,MC120,3600,1200,event_driven,900,900,0.6,120,41356.49999999998,39630.199999999975,1726.300000000003,0.2460434075666908,77,44,95,0,10889,2.989048957824707,0.0679329308596524,0.4040775094131693,46.31578947368421,False
5,MC120,3600,1200,event_driven,900,900,0.6,120,39576.49999999998,38020.69999999999,1555.7999999999893,0.2311295029945644,89,41,95,0,10909,2.4512791633605957,0.0597872966673316,0.3758364653038775,43.15789473684211,False
6,MC120,3600,1200,event_driven,900,900,0.6,120,42380.49999999992,37854.099999999955,4526.399999999962,0.6754010503776002,94,48,95,0,10892,2.913731098175049,0.0607027312119801,0.4406904149834741,50.526315789473685,False
7,MC120,3600,1200,event_driven,900,900,0.6,120,38491.20000000001,35751.799999999996,2739.4000000000124,0.4327920413935683,111,57,94,0,10883,3.1610066890716553,0.0554562577030115,0.5237526417348158,60.63829787234043,False
8,MC120,3600,1200,event_driven,900,900,0.6,120,37480.39999999998,35396.49999999999,2083.8999999999896,0.3325357026824669,90,56,94,0,10875,3.33660626411438,0.0595822547163282,0.5149425287356322,59.57446808510638,False
9,MC120,3600,1200,event_driven,900,900,0.6,120,40387.79999999998,37589.39999999999,2798.3999999999915,0.4205001211178473,73,52,95,0,10878,3.1129775047302246,0.0598649520140427,0.4780290494576208,54.736842105263165,False
10,MC120,3600,1200,event_driven,900,900,0.6,120,36387.799999999974,33560.59999999999,2827.199999999983,0.475826408950367,111,44,95,0,10863,2.492736577987671,0.0566531040451743,0.4050446469667679,46.31578947368421,False
11,MC120,3600,1200,event_driven,900,900,0.6,120,39728.299999999974,37363.69999999998,2364.599999999994,0.3574617157212021,78,47,95,0,10898,2.7442212104797363,0.058387685329356,0.4312717929895394,49.473684210526315,False
12,MC120,3600,1200,event_driven,900,900,0.6,120,46468.49999999996,38898.99999999998,7569.499999999984,1.0991335973212095,104,48,95,0,10901,2.94982385635376,0.0614546636740366,0.4403265755435281,50.526315789473685,False
13,MC120,3600,1200,event_driven,900,900,0.6,120,40457.89999999998,36757.5,3700.399999999981,0.5686230140667982,101,50,95,0,10867,2.7817983627319336,0.0556359672546386,0.4601085856262078,52.63157894736842,False
14,MC120,3600,1200,event_driven,900,900,0.6,120,38838.29999999993,34954.999999999956,3883.2999999999743,0.6274994694905975,104,43,95,0,10878,2.599863767623902,0.0604619480842767,0.3952932524361096,45.26315789473684,False
15,MC120,3600,1200,event_driven,900,900,0.6,120,42787.599999999955,40045.199999999975,2742.39999999998,0.3868138893160593,98,48,94,0,10898,3.064070701599121,0.063834806283315,0.4404477885850614,51.06382978723404,False
